,Astronaut,Selection Year,Hr in Space
235,"Anderson, Michael P. ",1995,593
229,"Scott, Winston E. ",1992,590
171,"Gemar, Charles D. ",1985,581
308,"Antonelli, Dominic A. ",2000,579
272,"Massimino, Michael J. ",1996,571
46,"Cernan, Eugene A. ",1963,566
262,"Frick, Stephen N. ",1996,565
284,"Walheim, Rex J. ",1996,565
91,"Crippen, Robert L. ",1969,565
297,"Melvin, Leland D. ",1998,565
153,"Cameron, Kenneth D. ",1984,561
254,"Burbank, Daniel C. ",1996,552
193,"Runco, Mario, Jr. ",1987,551
54,"Scott, David R. ",1963,546
124,"Shaw, Brewster H., Jr. ",1978,533
142,"Leestma, David C. ",1980,532
127,"Sullivan, Kathryn D. ",1978,532
39,"Stafford, Thomas P. ",1962,507
72,"Mattingly, Thomas K., II ",1966,504
217,"Coleman, Catherine G. ",1992,500
141,"Hilmers, David C. ",1980,494
99,"Buchli, James F. ",1978,490
157,"Gutierrez, Sidney M. ",1984,488
93,"Hartsfield, Henry W., Jr. ",1969,482
143,"Lounge, John M. ",1980,482
249,"Noriega, Carlos I. ",1995,481
34,"Borman, Frank ",1962,477
245,"Kilrain, Susan L. ",1995,471
100,"Coats, Michael L. ",1978,463
88,"Parker, Robert A. R. ",1967,462
158,"Hammond, L. Blaine, Jr. ",1984,462
107,"Gregory, Frederick D. ",1978,455
233,"Weber, Mary E. ",1992,450
203,"Harris, Bernard A., Jr. ",1990,438
165,"Veach, Charles Lacy ",1984,436
110,"Hauck, Frederick H. ",1978,436
211,"Sega, Ronald M. ",1990,420
118,"Nelson, George D. ",1978,411
216,"Brady, Charles E., Jr. ",1992,405
102,"Creighton, John O. ",1978,404
201,"Gregory, William G. ",1990,399
90,"Bobko, Karol J. ",1969,386
125,"Shriver, Loren J. ",1978,386
144,"O'Connor, Bryan D. ",1980,386
259,"Clark, Laurel B. ",1996,382
274,"McCool, William C. ",1996,382
253,"Brown, David M. ",1996,382
92,"Fullerton, Charles G. ",1969,382
330,"Kimbrough, Robert S. ",2004,380
295,"Johnson, Gregory H. ",1998,378
331,"Marshburn, Thomas H. ",2004,376
327,"Cassidy, Christopher J. ",2004,376
318,"Hurley, Douglas G. ",2000,376
328,"Dutton, James P. ",2004,362
332,"Metcalf-Lindenburger, Dorothy M. ",2004,362
116,"Mullane, Richard M. ",1978,356
121,"Ride, Sally K. ",1978,343
129,"Van Hoften, James D. A. ",1978,338
37,"McDivitt, James A. ",1962,338
131,"Bagian, James P. ",1980,337
105,"Gardner, Dale A. ",1978,336
150,"Adamson, James C. ",1984,334
315,"Ford, Kevin A. ",2000,333
257,"Camarda, Charles J. ",1996,333
329,"Hernandez, Jose M. ",2004,332
263,"Herrington, John B. ",1996,330
316,"Garan, Ronald J., Jr. ",2000,330
321,"Nyberg, Karen L. ",2000,330
323,"Virts, Terry W., Jr. ",2000,330
192,"Reightler, Kenneth S., Jr. ",1987,327
139,"Gardner, Guy S. ",1980,320
283,"Tani, Daniel M. ",1996,318
103,"Fabian, John M. ",1978,316
52,"Gordon, Richard F., Jr. ",1963,315
79,"Allen, Joseph P. ",1967,313
89,"Thornton, William E. ",1967,313
73,"McCandless, Bruce, II ",1966,312
